category_type,category,metric,n_category,n_other,mean_diff,median_diff,cohens_d,mann_whitney_p,adj_beta,adj_p,platform_top,platform_share,low_sample
specific,social_communication,rating,2,1009,-13.704362945669887,0.4002235824584961,-0.39683535609681037,0.3810011779268425,,,firefox,1.0,True
specific,tabs_bookmarks_management,stars,15,1734,552.9986159169548,-116.0,0.068428305028776,0.794613973661459,-0.07402663424469269,0.8155576247340822,firefox,0.8,False
specific,tabs_bookmarks_management,downloads,15,1732,-6811626.22752117,-374490.0,-0.4433473978413468,6.939786881282743e-05,-0.3111671237738214,0.12918274054124843,firefox,0.8,False
specific,tabs_bookmarks_management,rating,13,998,-14.76544551089502,0.052423582458495765,-0.427992075434716,0.6955664972217904,,,firefox,0.8,False
specific,task_project_management,stars,14,1735,-1098.1005763688759,425.0,-0.13588673867025716,0.06034789217946497,0.6181703709978885,0.02162034034543815,obsidian,1.0,False
specific,task_project_management,downloads,14,1733,-6320943.041093067,-84600.0,-0.41134290692309544,0.5658030687011846,0.5034403652224102,0.0037914848698414124,obsidian,1.0,False
specific,templates_snippets,stars,4,1745,-579.8869627507165,195.5,-0.0717544734845566,0.3592301934506569,0.6471447923289406,0.1851123987580097,obsidian,1.0,True
specific,templates_snippets,downloads,4,1743,-5464105.0622489955,-61178.0,-0.3553952959400916,0.8715023383612417,0.8209675497557702,0.009268400697955053,obsidian,1.0,True
specific,testing_debugging,stars,23,1726,-327.02428333921125,400.0,-0.04046576037305277,0.011935048917723763,0.3962850094760699,0.08409835935519987,vscode,0.6086956521739131,False
specific,testing_debugging,downloads,23,1724,25839310.064813882,14758539.0,1.7121286079170641,1.191780306704585e-06,0.32168407969946344,0.03001925017910772,vscode,0.6086956521739131,False
specific,testing_debugging,rating,14,997,-14.36439626900204,-0.008282661437988281,-0.41637606342601113,0.8131840827626865,,,vscode,0.6086956521739131,False
specific,translation_language,stars,7,1742,4838.5545350172215,5074.0,0.5991417510509834,0.07417850036496318,0.8393785845215329,0.061426239870524514,chrome,0.5714285714285714,True
specific,translation_language,downloads,7,1740,-4477974.388505748,328189.0,-0.29126286081898733,0.6629614132136918,0.6984212087454404,0.016022466396944688,chrome,0.5714285714285714,True
specific,translation_language,rating,6,1005,-14.843544688737232,-0.05327641754150392,-0.42999033204775866,0.8705381279785489,,,chrome,0.5714285714285714,True
specific,ui_customization,stars,66,1683,-1679.6010101010102,-52.0,-0.2079938288955152,0.8877695159187304,-0.25020193106649824,0.08032116808229409,obsidian,0.8787878787878788,False
